adi,app_id,ifci,suci,trci,wcs
1.0,movies_app,0.7517,0.5141,1.0,0.8407
0.4191,kanban_app,0.1216,0.3801,1.0,0.395
0.4,coffee_shop,0.1513,0.3284,0.076,0.2787
